image_Path,image_name,text
France_Pages\France_Page46.png,France_Page46.png,"Montpellier sat. 4 JAN. We arrived at Montpellier late in the night, haveing dined at a Protestant Inn at Lunel, 3 leagues from Montpellier, where we were well used. But Mr. Girald s breakfast, who enterteind us at Nismes in the morning, made this day��s journey of 8 leagues to keep us on horseback till within night. We lodged at the Pettit Paris1 & paid there 2I. per day for meat, drink, lodging, candle & fire. A bottle in ice to coole the drinke was used even at this time of the year. SUNDAY 5 JAN. Having horses, we rode out to the seaside, which is a league from the town southward. Here is a beach all along that separates the lake from the main of the Mediterranean. In this lake is great plenty of foule. Monday 6 jan. We paid our Voiturin 12 crowns apeice for horse & provision from Lyons hither. We had liberty to goe out of the way or stay any where, but were to pay our selves for our own "
France_Pages\France_Page47.png,France_Page47.png,"& the horse meat where we stayed, which is usually 15 s. dinner, 25 s. supper, for all the company eat togeather, & 15 s. for horsemeat a night. Tuesday 7 jan. I removed to Mr. Puech��s2 house, being told that that part of the town which lay towards the sea was less healthy, as the Pettit Paris doth, the south & South-east winds being counted unhealthy, comeing off from the sea. At the Pettit Paris I paid ��2 per diem, at Mr. Puech��s 10 crowns per month for diet only. Lodging, fire & candle I had at an other place. WEDNES. 8 jan. I walked abroad & found them gathering of olives, a black fruit, about the bignesse of an acorn, with which the trees were thick hung, & just without the town, especially "
France_Pages\France_Page48.png,France_Page48.png,"on the west side, the fields coverd with olive trees in quincunx. T. 9 JAN. We saw them throwing of Olives in the fields to separate the fruit from the leaves. The way is the seting up 3 sticks & laying there on a wim sheet1 much after the fashion of a fire shovel, the open end towards the labourer, who, at a good distance from, takes up the olives out ofa heape with a wooden shovell & soe throws them into the sheet. The olives out flie  the leaves which fall by the way. All the high way[s] are fild with gamesters at Mall, soe that walkers are in some danger of knocks. This day I got me a French Master5 who was to teach Mr. Wall6 & me one hour per diem 5 days in the weak at 4 crowns per month. "
France_Pages\France_Page49.png,France_Page49.png,"fri. 10 jan. I walked out to a fine garden, a litle mile from the towne. The walks were bays & some other cipresse trees, soe close that they were not to be passed, & of a great heigth. There were rows of other trees, but without leaves soe that I knew them not, unless it were some elms. There were also some pine trees. There is also at the entrance a faire, large, square pond where, ��tis said, the ladys bath in summer, and if the weather at midsomer answer the warmth of this day, which was with the 4 or 5 preceeding very fair, the Ladys will certainly need a cooler. SAT. 1/11 jan. Rayny all day. A spit before & pipkins behind the fire. I paid Mr. Puech for wood & coals ��4. 2J-, Wood 6s., Charcoal 18s. Kentall, i.e. 100 lbs. "
France_Pages\France_Page50.png,France_Page50.png,"sun. 12 jan. In Kitchen at Mr. Wall��s some peuter, some brasse & aboundance of pipkins. All the world at Mall & the Mountebank at��s tricks. M. 13 JAN. Several asses & mules loden with green brush wood of evergreen, oake & bays, brought to towne for fuell. Most of their labour don by mules & Asses. Between Lyons & Vienne we met people rideing post on Asses, & on the road we met severall drivers of mules, some where of we were told have 800 lb. weight upon them, and severall women rideing a stride, some with caps & feathers. We met more people travelling between Lyons & Mont? pellier by much then between Paris & Lyons, where were very few. "
France_Pages\France_Page51.png,France_Page51.png,"This day I also saw a garden where they blanch wax. They begin in March & then I intend to see it.2 Here were Jasmin flowers blown & ready to open. tues. 14 JAN. A woman rideing on a pretty sort ofsaddle made like a pad, pretty high before & behind, & on the far side a thing comeing up on the back of the woman, something like the back of a chair, & made of cloth stuffed with helme or some such like thing, & fastend to the fore & hinder part of the sadle or pad. The women carrying earth at the gate in litle baskets on their heads, & singing & danceing in their sabots as they returned for new burthens. The Wages per day for men 12s., for women 5 s. at this time of the yeare; in summer, espetially about harvest, 18 s. for men & 7 for women. WEDNES. 15 JAN. Mr. Puech bying glasse bottles by weight & she apples. The Towne House adornd with "
France_Pages\France_Page52.png,France_Page52.png,"false weights, ballances & measures naild upon the outside. The same at Avignion. t. 16 jan. Fair. N.E. Cold. fri. 17 jan. Fair. Frost. N.E. Ice quarter of an inch thick. Women barelegd washing in the litle streame on the north west side. The picture of God the Father over the altar in Church. sat. 18 jan. About 9 in the morning I went to the Towne House where the States of Languedock, which were then assembled in this towne, used to sit every day. The room they sit in is a pretty fair roome. At the upper end, in the midle, is a seat higher some what then the rest, where the Duke of Vernule, governor of this Province, sits when he comes to the Assembly, which is but seldome & only upon occasion of proposing some thing to them. At other "
France_Pages\France_Page53.png,France_Page53.png,"times Cardinal Bonzi, who is Archbishop of Narbone, takes that seat which is under a canapey. On the right hand sit the Bishops of this province who are 22 besides Archbishops; on the left hand the Barons, about 25. This seat is high, soe that the floor of it is about a yard higher then the other where the Deputies of the towns sit, who are about 44, & of these consists this assembly. About ten they began to drop into the room, where the Bishops put on their habits, i.e. putting of their long, black cloaks, they put on upon their cassocks a short surplice, richly laced commonly at the bottom with straight sleeves, & over this a black hood & a square cap. Only one I saw in purple, & the cardinal was all scarlet except surplice. It is soe orderd that, when the Duke comes, he never is there, soe that he never sits out of the chair. The bell tolls till he comes & then it ceases. When he & the Bishops are habited, away they go to Nostre Dame5 to masse, a church just by, & "
France_Pages\France_Page54.png,France_Page54.png,"soe about 11 they returne & begin to sit, & rise again at 12, seldom siting in the afternoon, & that but upon extraordinary occasions. I beleive them men of businesse & dispatche, for in this manner they sit & are assembled constantly 4 months in the yeare, beginning in October & ending in February. sund. 19 JAN. The Physick Garden1 well contrived for plants of all Hortus regius S0rtSj even t0 shady & boggy, set most in high beds, as it were, in long stone troughs, with walks between, & numbers in order graved in the stone, to direct the student to the plant. I gatherd blew violets there, full blown & very sweet. Father & son that walked there who would pistol any one in any placefor small occasion. "
France_Pages\France_Page55.png,France_Page55.png,TUES. 21 JAN. Good husbandry in every thing. Their coaches coverd with oyled cloth when they travell & in wett days in towns. None of them guilded. 
France_Pages\France_Page56.png,France_Page56.png,"thur. 23 JAN. Paid for a pair of new Spanish leather shoes 45s. fr. 24 JAN. People gathering of Olives. The hils of about 10 or 12 leagues to the N.W. distance coverd with snow, though we had here 4 days continuall hard rain. Soe that winter makes but little excursions into the vale of this country, but keeps his court in the mountains, & if I were to draw his "
